Name (location);Time/Call;Samples;Calls;% Time
parents;;0;1;0.0
std::_Vector_base<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::_Vector_impl::_Vector_impl() (stl_vector.h:88);;0;1;0.0
std::allocator<cv::Ptr<cv::videostab::InpainterBase> >::~allocator();;0;1;0.0
children;;0;1;0.0
__gnu_cxx::new_allocator<cv::Ptr<cv::videostab::InpainterBase> >::~new_allocator() (new_allocator.h:76);;0;1;0.0
parents;;0;1;0.0
std::_Vector_base<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::_Vector_impl::~_Vector_impl() (stl_vector.h:80);;0;1;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::begin() const;;0;1;0.0
children;;0;1;0.0
__gnu_cxx::__normal_iterator<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > >::__normal_iterator(cv::Ptr<cv::videostab::InpainterBase> const* const&) (stl_iterator.h:728);;0;1;0.0
parents;;0;1;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::empty() const (stl_vector.h:715);;0;1;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::empty() const;;0;1;0.0
parents;;0;1;0.0
cv::videostab::InpaintingPipeline::empty() const (inpainting.hpp:109);;0;1;0.0
children;;0;3;0.0
bool __gnu_cxx::operator==<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > >(__gnu_cxx::__normal_iterator<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > > const&, __gnu_cxx::__normal_iterator<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > > const&) (stl_iterator.h:813);;0;1;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::begin() const (stl_vector.h:527);;0;1;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::end() const (stl_vector.h:545);;0;1;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::end() const;;0;1;0.0
children;;0;1;0.0
__gnu_cxx::__normal_iterator<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > >::__normal_iterator(cv::Ptr<cv::videostab::InpainterBase> const* const&) (stl_iterator.h:728);;0;1;0.0
parents;;0;1;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::empty() const (stl_vector.h:715);;0;1;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::vector();;0;1;0.0
children;;0;1;0.0
std::_Vector_base<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::_Vector_base() (stl_vector.h:125);;0;1;0.0
parents;;0;1;0.0
cv::videostab::InpaintingPipeline::InpaintingPipeline() (inpainting.hpp:105);;0;1;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::~vector();;0;1;0.0
parents;;0;1;0.0
cv::videostab::InpaintingPipeline::~InpaintingPipeline() (inpainting.hpp:105);;0;1;0.0
children;;0;3;0.0
std::_Vector_base<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::_M_get_Tp_allocator() (stl_vector.h:114);;0;1;0.0
std::_Vector_base<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::~_Vector_base() (stl_vector.h:160);;0;1;0.0
void std::_Destroy<cv::Ptr<cv::videostab::InpainterBase>*, cv::Ptr<cv::videostab::InpainterBase> >(cv::Ptr<cv::videostab::InpainterBase>*, cv::Ptr<cv::videostab::InpainterBase>*, std::allocator<cv::Ptr<cv::videostab::InpainterBase> >&) (stl_construct.h:152);;0;1;0.0
std::vector<float, std::allocator<float> >::_M_erase_at_end(float*);;0;1;0.0
parents;;0;1;0.0
std::vector<float, std::allocator<float> >::clear() (stl_vector.h:1097);;0;1;0.0
children;;0;2;0.0
std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() (stl_vector.h:114);;0;1;0.0
void std::_Destroy<float*, float>(float*, float*, std::allocator<float>&) (stl_construct.h:152);;0;1;0.0
std::vector<float, std::allocator<float> >::clear();;0;1;0.0
children;;0;1;0.0
std::vector<float, std::allocator<float> >::_M_erase_at_end(float*) (stl_vector.h:1317);;0;1;0.0
parents;;0;1;0.0
cv::videostab::StabilizerBase::reset() (stabilizer.cpp:83);;0;1;0.0
void std::_Destroy<cv::Ptr<cv::videostab::InpainterBase>*, cv::Ptr<cv::videostab::InpainterBase> >(cv::Ptr<cv::videostab::InpainterBase>*, cv::Ptr<cv::videostab::InpainterBase>*, std::allocator<cv::Ptr<cv::videostab::InpainterBase> >&);;0;1;0.0
children;;0;1;0.0
void std::_Destroy<cv::Ptr<cv::videostab::InpainterBase>*>(cv::Ptr<cv::videostab::InpainterBase>*, cv::Ptr<cv::videostab::InpainterBase>*) (stl_construct.h:124);;0;1;0.0
parents;;0;1;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::~vector() (stl_vector.h:403);;0;1;0.0
void std::_Destroy<cv::Ptr<cv::videostab::InpainterBase>*>(cv::Ptr<cv::videostab::InpainterBase>*, cv::Ptr<cv::videostab::InpainterBase>*);;0;1;0.0
children;;0;1;0.0
void std::_Destroy_aux<false>::__destroy<cv::Ptr<cv::videostab::InpainterBase>*>(cv::Ptr<cv::videostab::InpainterBase>*, cv::Ptr<cv::videostab::InpainterBase>*) (stl_construct.h:102);;0;1;0.0
parents;;0;1;0.0
void std::_Destroy<cv::Ptr<cv::videostab::InpainterBase>*, cv::Ptr<cv::videostab::InpainterBase> >(cv::Ptr<cv::videostab::InpainterBase>*, cv::Ptr<cv::videostab::InpainterBase>*, std::allocator<cv::Ptr<cv::videostab::InpainterBase> >&) (stl_construct.h:156);;0;1;0.0
void std::_Destroy_aux<false>::__destroy<cv::Ptr<cv::videostab::InpainterBase>*>(cv::Ptr<cv::videostab::InpainterBase>*, cv::Ptr<cv::videostab::InpainterBase>*);;0;1;0.0
parents;;0;1;0.0
void std::_Destroy<cv::Ptr<cv::videostab::InpainterBase>*>(cv::Ptr<cv::videostab::InpainterBase>*, cv::Ptr<cv::videostab::InpainterBase>*) (stl_construct.h:130);;0;1;0.0
IMotionEstimatorBuilder::IMotionEstimatorBuilder(cv::CommandLineParser&);;0;2;0.0
parents;;0;2;0.0
MotionEstimatorRansacL2Builder::MotionEstimatorRansacL2Builder(cv::CommandLineParser&, bool, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) (videostab.cpp:191);;0;2;0.0
IMotionEstimatorBuilder::~IMotionEstimatorBuilder();;0;2;0.0
parents;;0;2;0.0
MotionEstimatorRansacL2Builder::~MotionEstimatorRansacL2Builder() (videostab.cpp:187);;0;2;0.0
MotionEstimatorRansacL2Builder::MotionEstimatorRansacL2Builder(cv::CommandLineParser&, bool, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&);;0;2;0.0
children;;0;2;0.0
IMotionEstimatorBuilder::IMotionEstimatorBuilder(cv::CommandLineParser&) (videostab.cpp:182);;0;2;0.0
parents;;0;2;0.0
main (videostab.cpp:378);;0;2;0.0
MotionEstimatorRansacL2Builder::~MotionEstimatorRansacL2Builder();;0;2;0.0
children;;0;2;0.0
IMotionEstimatorBuilder::~IMotionEstimatorBuilder() (videostab.cpp:179);;0;2;0.0
parents;;0;2;0.0
MotionEstimatorRansacL2Builder::~MotionEstimatorRansacL2Builder() (videostab.cpp:187);;0;2;0.0
MotionEstimatorRansacL2Builder::~MotionEstimatorRansacL2Builder();;0;2;0.0
children;;0;2;0.0
MotionEstimatorRansacL2Builder::~MotionEstimatorRansacL2Builder() (videostab.cpp:187);;0;2;0.0
parents;;0;2;0.0
cv::Ptr<IMotionEstimatorBuilder>::delete_obj() (operations.hpp:2613);;0;2;0.0
__gnu_cxx::__enable_if<std::__is_scalar<float>::__value, float*>::__type std::__fill_n_a<float*, unsigned int, float>(float*, unsigned int, float const&);;0;2;0.0
parents;;0;2;0.0
float* std::fill_n<float*, unsigned int, float>(float*, unsigned int, float const&) (stl_algobase.h:780);;0;2;0.0
__gnu_cxx::__normal_iterator<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > >::__normal_iterator(cv::Ptr<cv::videostab::InpainterBase> const* const&);;0;2;0.0
parents;;0;2;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::begin() const (stl_vector.h:528);;0;1;0.0
std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::end() const (stl_vector.h:546);;0;1;0.0
__gnu_cxx::__normal_iterator<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > >::base() const;;0;2;0.0
parents;;0;2;0.0
bool __gnu_cxx::operator==<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > >(__gnu_cxx::__normal_iterator<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > > const&, __gnu_cxx::__normal_iterator<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > > const&) (stl_iterator.h:815);;0;2;0.0
__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&);;0;2;0.0
parents;;0;2;0.0
std::vector<float, std::allocator<float> >::_M_fill_insert(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, unsigned int, float const&) (vector.tcc:480);;0;2;0.0
children;;0;4;0.0
__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const (stl_iterator.h:792);;0;4;0.0
__gnu_cxx::new_allocator<cv::KeyPoint>::new_allocator();;0;2;0.0
parents;;0;2;0.0
std::allocator<cv::KeyPoint>::allocator() (allocator.h:104);;0;2;0.0
__gnu_cxx::new_allocator<cv::KeyPoint>::~new_allocator();;0;2;0.0
parents;;0;2;0.0
std::allocator<cv::KeyPoint>::~allocator() (allocator.h:112);;0;2;0.0
__gnu_cxx::new_allocator<float>::allocate(unsigned int, void const*);;0;2;0.0
children;;0;2;0.0
__gnu_cxx::new_allocator<float>::max_size() const (new_allocator.h:103);;0;2;0.0
parents;;0;2;0.0
std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned int) (stl_vector.h:169);;0;2;0.0
__gnu_cxx::new_allocator<float>::deallocate(float*, unsigned int);;0;2;0.0
parents;;0;2;0.0
std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned int) (stl_vector.h:175);;0;2;0.0
__gnu_cxx::new_allocator<unsigned char>::new_allocator();;0;2;0.0
parents;;0;2;0.0
std::allocator<unsigned char>::allocator() (allocator.h:104);;0;2;0.0
__gnu_cxx::new_allocator<unsigned char>::~new_allocator();;0;2;0.0
parents;;0;2;0.0
std::allocator<unsigned char>::~allocator() (allocator.h:112);;0;2;0.0
cv::Point_<float>* std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_allocate_and_copy<cv::Point_<float>*>(unsigned int, cv::Point_<float>*, cv::Point_<float>*);;0;2;0.0
parents;;0;2;0.0
std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::reserve(unsigned int) (vector.tcc:76);;0;2;0.0
children;;0;6;0.0
cv::Point_<float>* std::__uninitialized_copy_a<cv::Point_<float>*, cv::Point_<float>*, cv::Point_<float> >(cv::Point_<float>*, cv::Point_<float>*, cv::Point_<float>*, std::allocator<cv::Point_<float> >&) (stl_uninitialized.h:258);;0;2;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_allocate(unsigned int) (stl_vector.h:168);;0;2;0.0
std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_get_Tp_allocator() (stl_vector.h:114);;0;2;0.0
cv::Ptr<IMotionEstimatorBuilder>::Ptr();;0;2;0.0
parents;;0;2;0.0
main (videostab.cpp:374);;0;2;0.0
cv::Ptr<IMotionEstimatorBuilder>::Ptr(IMotionEstimatorBuilder*);;0;2;0.0
parents;;0;2;0.0
main (videostab.cpp:378);;0;2;0.0
cv::Ptr<IMotionEstimatorBuilder>::delete_obj();;0;2;0.0
children;;0;2;0.0
MotionEstimatorRansacL2Builder::~MotionEstimatorRansacL2Builder() (videostab.cpp:187);;0;2;0.0
parents;;0;2;0.0
cv::Ptr<IMotionEstimatorBuilder>::release() (operations.hpp:2605);;0;2;0.0
cv::Ptr<IMotionEstimatorBuilder>::operator=(cv::Ptr<IMotionEstimatorBuilder> const&);;0;2;0.0
children;;0;2;0.0
cv::Ptr<IMotionEstimatorBuilder>::release() (operations.hpp:2600);;0;2;0.0
parents;;0;2;0.0
main (videostab.cpp:378);;0;2;0.0
cv::Ptr<cv::FeatureDetector>::Ptr();;0;2;0.0
parents;;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:667);;0;2;0.0
cv::Ptr<cv::videostab::DeblurerBase>::~Ptr();;0;2;0.0
children;;0;2;0.0
cv::Ptr<cv::videostab::DeblurerBase>::release() (operations.hpp:2600);;0;2;0.0
parents;;0;2;0.0
cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:62);;0;1;0.0
cv::videostab::StabilizerBase::~StabilizerBase() (stabilizer.hpp:66);;0;1;0.0
cv::Ptr<cv::videostab::IFrameSource>::Ptr();;0;2;0.0
parents;;0;2;0.0
__static_initialization_and_destruction_0(int, int) (videostab.cpp:23);;0;1;0.0
cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:57);;0;1;0.0
cv::Ptr<cv::videostab::ILog>::~Ptr();;0;2;0.0
children;;0;2;0.0
cv::Ptr<cv::videostab::ILog>::release() (operations.hpp:2600);;0;2;0.0
parents;;0;2;0.0
cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:59);;0;1;0.0
cv::videostab::StabilizerBase::~StabilizerBase() (stabilizer.hpp:66);;0;1;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::Ptr();;0;2;0.0
parents;;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:667);;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::Ptr();;0;2;0.0
parents;;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:667);;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::Ptr(cv::videostab::ISparseOptFlowEstimator*);;0;2;0.0
parents;;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:670);;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::delete_obj();;0;2;0.0
children;;0;2;0.0
cv::videostab::SparsePyrLkOptFlowEstimator::~SparsePyrLkOptFlowEstimator() (optical_flow.hpp:93);;0;2;0.0
parents;;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::release() (operations.hpp:2604);;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::operator=(cv::Ptr<cv::videostab::ISparseOptFlowEstimator> const&);;0;2;0.0
children;;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::release() (operations.hpp:2600);;0;2;0.0
parents;;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::setOpticalFlowEstimator(cv::Ptr<cv::videostab::ISparseOptFlowEstimator>) (global_motion.hpp:183);;0;2;0.0
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::Ptr(cv::videostab::ImageMotionEstimatorBase*);;0;2;0.0
parents;;0;2;0.0
MotionEstimatorRansacL2Builder::build() (videostab.cpp:230);;0;1;0.0
cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:61);;0;1;0.0
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::delete_obj();;0;2;0.0
children;;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::~KeypointBasedMotionEstimator() (global_motion.hpp:172);;0;2;0.0
parents;;0;2;0.0
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::release() (operations.hpp:2604);;0;2;0.0
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::operator=(cv::Ptr<cv::videostab::ImageMotionEstimatorBase> const&);;0;2;0.0
children;;0;2;0.0
cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::release() (operations.hpp:2600);;0;2;0.0
parents;;0;2;0.0
cv::videostab::StabilizerBase::setMotionEstimator(cv::Ptr<cv::videostab::ImageMotionEstimatorBase>) (stabilizer.hpp:77);;0;2;0.0
cv::Ptr<cv::videostab::InpainterBase>::Ptr(cv::videostab::InpainterBase*);;0;2;0.0
parents;;0;2;0.0
cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:63);;0;1;0.0
main (videostab.cpp:502);;0;1;0.0
cv::Ptr<cv::videostab::InpainterBase>::delete_obj();;0;2;0.0
children;;0;2;0.0
cv::videostab::InpaintingPipeline::~InpaintingPipeline() (inpainting.hpp:105);;0;1;0.0
cv::videostab::NullInpainter::~NullInpainter() (inpainting.hpp:99);;0;1;0.0
parents;;0;2;0.0
cv::Ptr<cv::videostab::InpainterBase>::release() (operations.hpp:2605);;0;2;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::Ptr<cv::videostab::MotionEstimatorBase> const&);;0;2;0.0
children;;0;2;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::addref() (operations.hpp:2597);;0;2;0.0
parents;;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:667);;0;2;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::videostab::MotionEstimatorBase*);;0;2;0.0
parents;;0;2;0.0
MotionEstimatorRansacL2Builder::build() (videostab.cpp:227);;0;1;0.0
cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:61);;0;1;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::addref();;0;2;0.0
parents;;0;2;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::Ptr<cv::videostab::MotionEstimatorBase> const&) (operations.hpp:2622);;0;2;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::delete_obj();;0;2;0.0
children;;0;2;0.0
cv::videostab::MotionEstimatorRansacL2::~MotionEstimatorRansacL2() (global_motion.hpp:91);;0;2;0.0
parents;;0;2;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::release() (operations.hpp:2604);;0;2;0.0
cv::Ptr<cv::videostab::MotionFilterBase>::Ptr(cv::videostab::MotionFilterBase*);;0;2;0.0
parents;;0;2;0.0
cv::videostab::OnePassStabilizer::OnePassStabilizer() (stabilizer.cpp:257);;0;1;0.0
main (videostab.cpp:452);;0;1;0.0
cv::Ptr<cv::videostab::MotionFilterBase>::delete_obj();;0;2;0.0
children;;0;2;0.0
cv::videostab::GaussianMotionFilter::~GaussianMotionFilter() (motion_stabilizing.hpp:94);;0;2;0.0
parents;;0;2;0.0
cv::Ptr<cv::videostab::MotionFilterBase>::release() (operations.hpp:2604);;0;2;0.0
cv::Ptr<cv::videostab::MotionFilterBase>::operator=(cv::Ptr<cv::videostab::MotionFilterBase> const&);;0;2;0.0
children;;0;2;0.0
cv::Ptr<cv::videostab::MotionFilterBase>::release() (operations.hpp:2600);;0;2;0.0
parents;;0;2;0.0
cv::videostab::OnePassStabilizer::setMotionFilter(cv::Ptr<cv::videostab::MotionFilterBase>) (stabilizer.hpp:141);;0;2;0.0
cv::videostab::GaussianMotionFilter::GaussianMotionFilter(int, float);;0;2;0.0
parents;;0;2;0.0
cv::videostab::OnePassStabilizer::OnePassStabilizer() (stabilizer.cpp:257);;0;1;0.0
main (videostab.cpp:452);;0;1;0.0
children;;0;6;0.0
cv::videostab::GaussianMotionFilter::setParams(int, float) (motion_stabilizing.cpp:94);;0;2;0.0
cv::videostab::MotionFilterBase::MotionFilterBase() (motion_stabilizing.hpp:81);;0;2;0.0
std::vector<float, std::allocator<float> >::vector() (stl_vector.h:246);;0;2;0.0
cv::videostab::GaussianMotionFilter::setParams(int, float);;0;2;0.0
children;;2;340;0.9852217
std::sqrt(float) (cmath:486);;2;2;0.9852217
std::vector<float, std::allocator<float> >::resize(unsigned int, float) (stl_vector.h:684);;0;2;0.0
std::exp(float) (cmath:245);;0;112;0.0
std::vector<float, std::allocator<float> >::operator[](unsigned int) (stl_vector.h:750);;0;224;0.0
parents;;0;2;0.0
cv::videostab::GaussianMotionFilter::GaussianMotionFilter(int, float) (motion_stabilizing.hpp:112);;0;2;0.0
cv::videostab::GaussianMotionFilter::~GaussianMotionFilter();;0;2;0.0
children;;0;2;0.0
cv::videostab::GaussianMotionFilter::~GaussianMotionFilter() (motion_stabilizing.hpp:94);;0;2;0.0
parents;;0;2;0.0
cv::Ptr<cv::videostab::MotionFilterBase>::delete_obj() (operations.hpp:2613);;0;2;0.0
cv::videostab::GaussianMotionFilter::~GaussianMotionFilter();;0;2;0.0
parents;;0;2;0.0
cv::videostab::GaussianMotionFilter::~GaussianMotionFilter() (motion_stabilizing.hpp:94);;0;2;0.0
children;;0;4;0.0
cv::videostab::MotionFilterBase::~MotionFilterBase() (motion_stabilizing.hpp:84);;0;2;0.0
std::vector<float, std::allocator<float> >::~vector() (stl_vector.h:402);;0;2;0.0
cv::videostab::IMotionStabilizer::IMotionStabilizer();;0;2;0.0
parents;;0;2;0.0
cv::videostab::MotionFilterBase::MotionFilterBase() (motion_stabilizing.hpp:81);;0;2;0.0
cv::videostab::IMotionStabilizer::~IMotionStabilizer();;0;2;0.0
parents;;0;2;0.0
cv::videostab::MotionFilterBase::~MotionFilterBase() (motion_stabilizing.hpp:84);;0;2;0.0
cv::videostab::ISparseOptFlowEstimator::ISparseOptFlowEstimator();;0;2;0.0
parents;;0;2;0.0
cv::videostab::SparsePyrLkOptFlowEstimator::SparsePyrLkOptFlowEstimator() (optical_flow.hpp:93);;0;2;0.0
cv::videostab::ISparseOptFlowEstimator::~ISparseOptFlowEstimator();;0;2;0.0
parents;;0;2;0.0
cv::videostab::SparsePyrLkOptFlowEstimator::~SparsePyrLkOptFlowEstimator() (optical_flow.hpp:93);;0;2;0.0
cv::videostab::ImageMotionEstimatorBase::ImageMotionEstimatorBase(cv::videostab::MotionModel);;0;2;0.0
children;;0;2;0.0
cv::videostab::ImageMotionEstimatorBase::setMotionModel(cv::videostab::MotionModel) (global_motion.hpp:134);;0;2;0.0
parents;;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:667);;0;2;0.0
cv::videostab::ImageMotionEstimatorBase::setMotionModel(cv::videostab::MotionModel);;0;2;0.0
parents;;0;2;0.0
cv::videostab::ImageMotionEstimatorBase::ImageMotionEstimatorBase(cv::videostab::MotionModel) (global_motion.hpp:140);;0;2;0.0
cv::videostab::ImageMotionEstimatorBase::~ImageMotionEstimatorBase();;0;2;0.0
parents;;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::~KeypointBasedMotionEstimator() (global_motion.hpp:172);;0;2;0.0
cv::videostab::InpainterBase::InpainterBase();;0;2;0.0
parents;;0;2;0.0
cv::videostab::InpaintingPipeline::InpaintingPipeline() (inpainting.hpp:105);;0;1;0.0
cv::videostab::NullInpainter::NullInpainter() (inpainting.hpp:99);;0;1;0.0
cv::videostab::InpainterBase::~InpainterBase();;0;2;0.0
parents;;0;2;0.0
cv::videostab::InpaintingPipeline::~InpaintingPipeline() (inpainting.hpp:105);;0;1;0.0
cv::videostab::NullInpainter::~NullInpainter() (inpainting.hpp:99);;0;1;0.0
cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>);;0;2;0.0
parents;;0;2;0.0
MotionEstimatorRansacL2Builder::build() (videostab.cpp:227);;0;1;0.0
cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:61);;0;1;0.0
children;;0;48;0.0
cv::Ptr<cv::FeatureDetector>::Ptr() (operations.hpp:2585);;0;2;0.0
cv::Ptr<cv::FeatureDetector>::Ptr(cv::FeatureDetector*) (operations.hpp:2586);;0;2;0.0
cv::Ptr<cv::FeatureDetector>::~Ptr() (operations.hpp:2616);;0;2;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::Ptr() (operations.hpp:2585);;0;2;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::Ptr(cv::videostab::IOutlierRejector*) (operations.hpp:2586);;0;2;0.0
cv::Ptr<cv::videostab::IOutlierRejector>::~Ptr() (operations.hpp:2616);;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::Ptr() (operations.hpp:2585);;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::Ptr(cv::videostab::ISparseOptFlowEstimator*) (operations.hpp:2586);;0;2;0.0
cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::~Ptr() (operations.hpp:2616);;0;2;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::Ptr<cv::videostab::MotionEstimatorBase> const&) (operations.hpp:2618);;0;2;0.0
cv::Ptr<cv::videostab::MotionEstimatorBase>::operator->() (operations.hpp:2636);;0;2;0.0
cv::videostab::ImageMotionEstimatorBase::ImageMotionEstimatorBase(cv::videostab::MotionModel) (global_motion.hpp:140);;0;2;0.0
cv::videostab::KeypointBasedMotionEstimator::setDetector(cv::Ptr<cv::FeatureDetector>) (global_motion.hpp:180);;0;2;0.0
