Hierarchy	Name (location)	Time/Call	Samples	Calls	% Time
  |   +-	std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::begin() const (stl_vector.h:528)	0ns	0	1	0
  |   +-	std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > >::end() const (stl_vector.h:546)	0ns	0	1	0
  +-	__gnu_cxx::__normal_iterator<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > >::base() const	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	bool __gnu_cxx::operator==<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > >(__gnu_cxx::__normal_iterator<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > > const&, __gnu_cxx::__normal_iterator<cv::Ptr<cv::videostab::InpainterBase> const*, std::vector<cv::Ptr<cv::videostab::InpainterBase>, std::allocator<cv::Ptr<cv::videostab::InpainterBase> > > > const&) (stl_iterator.h:815)	0ns	0	2	0
  +-	__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  | | +-	std::vector<float, std::allocator<float> >::_M_fill_insert(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, unsigned int, float const&) (vector.tcc:480)	0ns	0	2	0
  | +-	children	0ns	0	4	0
  |   +-	__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::base() const (stl_iterator.h:792)	0ns	0	4	0
  +-	__gnu_cxx::new_allocator<cv::KeyPoint>::new_allocator()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	std::allocator<cv::KeyPoint>::allocator() (allocator.h:104)	0ns	0	2	0
  +-	__gnu_cxx::new_allocator<cv::KeyPoint>::~new_allocator()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	std::allocator<cv::KeyPoint>::~allocator() (allocator.h:112)	0ns	0	2	0
  +-	__gnu_cxx::new_allocator<float>::allocate(unsigned int, void const*)	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	__gnu_cxx::new_allocator<float>::max_size() const (new_allocator.h:103)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	std::_Vector_base<float, std::allocator<float> >::_M_allocate(unsigned int) (stl_vector.h:169)	0ns	0	2	0
  +-	__gnu_cxx::new_allocator<float>::deallocate(float*, unsigned int)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	std::_Vector_base<float, std::allocator<float> >::_M_deallocate(float*, unsigned int) (stl_vector.h:175)	0ns	0	2	0
  +-	__gnu_cxx::new_allocator<unsigned char>::new_allocator()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	std::allocator<unsigned char>::allocator() (allocator.h:104)	0ns	0	2	0
  +-	__gnu_cxx::new_allocator<unsigned char>::~new_allocator()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	std::allocator<unsigned char>::~allocator() (allocator.h:112)	0ns	0	2	0
  +-	cv::Point_<float>* std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_allocate_and_copy<cv::Point_<float>*>(unsigned int, cv::Point_<float>*, cv::Point_<float>*)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  | | +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::reserve(unsigned int) (vector.tcc:76)	0ns	0	2	0
  | +-	children	0ns	0	6	0
  |   +-	cv::Point_<float>* std::__uninitialized_copy_a<cv::Point_<float>*, cv::Point_<float>*, cv::Point_<float> >(cv::Point_<float>*, cv::Point_<float>*, cv::Point_<float>*, std::allocator<cv::Point_<float> >&) (stl_uninitialized.h:258)	0ns	0	2	0
  |   +-	std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_allocate(unsigned int) (stl_vector.h:168)	0ns	0	2	0
  |   +-	std::_Vector_base<cv::Point_<float>, std::allocator<cv::Point_<float> > >::_M_get_Tp_allocator() (stl_vector.h:114)	0ns	0	2	0
  +-	cv::Ptr<IMotionEstimatorBuilder>::Ptr()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	main (videostab.cpp:374)	0ns	0	2	0
  +-	cv::Ptr<IMotionEstimatorBuilder>::Ptr(IMotionEstimatorBuilder*)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	main (videostab.cpp:378)	0ns	0	2	0
  +-	cv::Ptr<IMotionEstimatorBuilder>::delete_obj()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	MotionEstimatorRansacL2Builder::~MotionEstimatorRansacL2Builder() (videostab.cpp:187)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::Ptr<IMotionEstimatorBuilder>::release() (operations.hpp:2605)	0ns	0	2	0
  +-	cv::Ptr<IMotionEstimatorBuilder>::operator=(cv::Ptr<IMotionEstimatorBuilder> const&)	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::Ptr<IMotionEstimatorBuilder>::release() (operations.hpp:2600)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	main (videostab.cpp:378)	0ns	0	2	0
  +-	cv::Ptr<cv::FeatureDetector>::Ptr()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:667)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::DeblurerBase>::~Ptr()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::Ptr<cv::videostab::DeblurerBase>::release() (operations.hpp:2600)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:62)	0ns	0	1	0
  |   +-	cv::videostab::StabilizerBase::~StabilizerBase() (stabilizer.hpp:66)	0ns	0	1	0
  +-	cv::Ptr<cv::videostab::IFrameSource>::Ptr()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	__static_initialization_and_destruction_0(int, int) (videostab.cpp:23)	0ns	0	1	0
  |   +-	cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:57)	0ns	0	1	0
  +-	cv::Ptr<cv::videostab::ILog>::~Ptr()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::Ptr<cv::videostab::ILog>::release() (operations.hpp:2600)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:59)	0ns	0	1	0
  |   +-	cv::videostab::StabilizerBase::~StabilizerBase() (stabilizer.hpp:66)	0ns	0	1	0
  +-	cv::Ptr<cv::videostab::IOutlierRejector>::Ptr()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:667)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::Ptr()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:667)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::Ptr(cv::videostab::ISparseOptFlowEstimator*)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:670)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::delete_obj()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::videostab::SparsePyrLkOptFlowEstimator::~SparsePyrLkOptFlowEstimator() (optical_flow.hpp:93)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::release() (operations.hpp:2604)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::operator=(cv::Ptr<cv::videostab::ISparseOptFlowEstimator> const&)	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::release() (operations.hpp:2600)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::setOpticalFlowEstimator(cv::Ptr<cv::videostab::ISparseOptFlowEstimator>) (global_motion.hpp:183)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::Ptr(cv::videostab::ImageMotionEstimatorBase*)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	MotionEstimatorRansacL2Builder::build() (videostab.cpp:230)	0ns	0	1	0
  |   +-	cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:61)	0ns	0	1	0
  +-	cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::delete_obj()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::videostab::KeypointBasedMotionEstimator::~KeypointBasedMotionEstimator() (global_motion.hpp:172)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::release() (operations.hpp:2604)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::operator=(cv::Ptr<cv::videostab::ImageMotionEstimatorBase> const&)	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::release() (operations.hpp:2600)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::StabilizerBase::setMotionEstimator(cv::Ptr<cv::videostab::ImageMotionEstimatorBase>) (stabilizer.hpp:77)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::InpainterBase>::Ptr(cv::videostab::InpainterBase*)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:63)	0ns	0	1	0
  |   +-	main (videostab.cpp:502)	0ns	0	1	0
  +-	cv::Ptr<cv::videostab::InpainterBase>::delete_obj()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::videostab::InpaintingPipeline::~InpaintingPipeline() (inpainting.hpp:105)	0ns	0	1	0
  | | +-	cv::videostab::NullInpainter::~NullInpainter() (inpainting.hpp:99)	0ns	0	1	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::InpainterBase>::release() (operations.hpp:2605)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::Ptr<cv::videostab::MotionEstimatorBase> const&)	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::addref() (operations.hpp:2597)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:667)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::videostab::MotionEstimatorBase*)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	MotionEstimatorRansacL2Builder::build() (videostab.cpp:227)	0ns	0	1	0
  |   +-	cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:61)	0ns	0	1	0
  +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::addref()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::Ptr<cv::videostab::MotionEstimatorBase> const&) (operations.hpp:2622)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::delete_obj()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::videostab::MotionEstimatorRansacL2::~MotionEstimatorRansacL2() (global_motion.hpp:91)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::release() (operations.hpp:2604)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::MotionFilterBase>::Ptr(cv::videostab::MotionFilterBase*)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::OnePassStabilizer::OnePassStabilizer() (stabilizer.cpp:257)	0ns	0	1	0
  |   +-	main (videostab.cpp:452)	0ns	0	1	0
  +-	cv::Ptr<cv::videostab::MotionFilterBase>::delete_obj()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::videostab::GaussianMotionFilter::~GaussianMotionFilter() (motion_stabilizing.hpp:94)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::MotionFilterBase>::release() (operations.hpp:2604)	0ns	0	2	0
  +-	cv::Ptr<cv::videostab::MotionFilterBase>::operator=(cv::Ptr<cv::videostab::MotionFilterBase> const&)	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::Ptr<cv::videostab::MotionFilterBase>::release() (operations.hpp:2600)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::OnePassStabilizer::setMotionFilter(cv::Ptr<cv::videostab::MotionFilterBase>) (stabilizer.hpp:141)	0ns	0	2	0
  +-	cv::videostab::GaussianMotionFilter::GaussianMotionFilter(int, float)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  | | +-	cv::videostab::OnePassStabilizer::OnePassStabilizer() (stabilizer.cpp:257)	0ns	0	1	0
  | | +-	main (videostab.cpp:452)	0ns	0	1	0
  | +-	children	0ns	0	6	0
  |   +-	cv::videostab::GaussianMotionFilter::setParams(int, float) (motion_stabilizing.cpp:94)	0ns	0	2	0
  |   +-	cv::videostab::MotionFilterBase::MotionFilterBase() (motion_stabilizing.hpp:81)	0ns	0	2	0
  |   +-	std::vector<float, std::allocator<float> >::vector() (stl_vector.h:246)	0ns	0	2	0
  +-	cv::videostab::GaussianMotionFilter::setParams(int, float)	0ns	0	2	0
  | +-	children	58.823us	2	340	1.3333334
  | | +-	std::sqrt(float) (cmath:486)	10.000ms	2	2	1.3333334
  | | +-	std::vector<float, std::allocator<float> >::resize(unsigned int, float) (stl_vector.h:684)	0ns	0	2	0
  | | +-	std::exp(float) (cmath:245)	0ns	0	112	0
  | | +-	std::vector<float, std::allocator<float> >::operator[](unsigned int) (stl_vector.h:750)	0ns	0	224	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::GaussianMotionFilter::GaussianMotionFilter(int, float) (motion_stabilizing.hpp:112)	0ns	0	2	0
  +-	cv::videostab::GaussianMotionFilter::~GaussianMotionFilter()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  | | +-	cv::videostab::GaussianMotionFilter::~GaussianMotionFilter() (motion_stabilizing.hpp:94)	0ns	0	2	0
  | +-	children	0ns	0	4	0
  |   +-	cv::videostab::MotionFilterBase::~MotionFilterBase() (motion_stabilizing.hpp:84)	0ns	0	2	0
  |   +-	std::vector<float, std::allocator<float> >::~vector() (stl_vector.h:402)	0ns	0	2	0
  +-	cv::videostab::GaussianMotionFilter::~GaussianMotionFilter()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::videostab::GaussianMotionFilter::~GaussianMotionFilter() (motion_stabilizing.hpp:94)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::MotionFilterBase>::delete_obj() (operations.hpp:2613)	0ns	0	2	0
  +-	cv::videostab::IMotionStabilizer::IMotionStabilizer()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::MotionFilterBase::MotionFilterBase() (motion_stabilizing.hpp:81)	0ns	0	2	0
  +-	cv::videostab::IMotionStabilizer::~IMotionStabilizer()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::MotionFilterBase::~MotionFilterBase() (motion_stabilizing.hpp:84)	0ns	0	2	0
  +-	cv::videostab::ISparseOptFlowEstimator::ISparseOptFlowEstimator()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::SparsePyrLkOptFlowEstimator::SparsePyrLkOptFlowEstimator() (optical_flow.hpp:93)	0ns	0	2	0
  +-	cv::videostab::ISparseOptFlowEstimator::~ISparseOptFlowEstimator()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::SparsePyrLkOptFlowEstimator::~SparsePyrLkOptFlowEstimator() (optical_flow.hpp:93)	0ns	0	2	0
  +-	cv::videostab::ImageMotionEstimatorBase::ImageMotionEstimatorBase(cv::videostab::MotionModel)	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::videostab::ImageMotionEstimatorBase::setMotionModel(cv::videostab::MotionModel) (global_motion.hpp:134)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:667)	0ns	0	2	0
  +-	cv::videostab::ImageMotionEstimatorBase::setMotionModel(cv::videostab::MotionModel)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::ImageMotionEstimatorBase::ImageMotionEstimatorBase(cv::videostab::MotionModel) (global_motion.hpp:140)	0ns	0	2	0
  +-	cv::videostab::ImageMotionEstimatorBase::~ImageMotionEstimatorBase()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::~KeypointBasedMotionEstimator() (global_motion.hpp:172)	0ns	0	2	0
  +-	cv::videostab::InpainterBase::InpainterBase()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::InpaintingPipeline::InpaintingPipeline() (inpainting.hpp:105)	0ns	0	1	0
  |   +-	cv::videostab::NullInpainter::NullInpainter() (inpainting.hpp:99)	0ns	0	1	0
  +-	cv::videostab::InpainterBase::~InpainterBase()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::InpaintingPipeline::~InpaintingPipeline() (inpainting.hpp:105)	0ns	0	1	0
  |   +-	cv::videostab::NullInpainter::~NullInpainter() (inpainting.hpp:99)	0ns	0	1	0
  +-	cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  | | +-	MotionEstimatorRansacL2Builder::build() (videostab.cpp:227)	0ns	0	1	0
  | | +-	cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:61)	0ns	0	1	0
  | +-	children	0ns	0	48	0
  |   +-	cv::Ptr<cv::FeatureDetector>::Ptr() (operations.hpp:2585)	0ns	0	2	0
  |   +-	cv::Ptr<cv::FeatureDetector>::Ptr(cv::FeatureDetector*) (operations.hpp:2586)	0ns	0	2	0
  |   +-	cv::Ptr<cv::FeatureDetector>::~Ptr() (operations.hpp:2616)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::IOutlierRejector>::Ptr() (operations.hpp:2585)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::IOutlierRejector>::Ptr(cv::videostab::IOutlierRejector*) (operations.hpp:2586)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::IOutlierRejector>::~Ptr() (operations.hpp:2616)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::Ptr() (operations.hpp:2585)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::Ptr(cv::videostab::ISparseOptFlowEstimator*) (operations.hpp:2586)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::~Ptr() (operations.hpp:2616)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::Ptr(cv::Ptr<cv::videostab::MotionEstimatorBase> const&) (operations.hpp:2618)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::operator->() (operations.hpp:2636)	0ns	0	2	0
  |   +-	cv::videostab::ImageMotionEstimatorBase::ImageMotionEstimatorBase(cv::videostab::MotionModel) (global_motion.hpp:140)	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::setDetector(cv::Ptr<cv::FeatureDetector>) (global_motion.hpp:180)	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::setOpticalFlowEstimator(cv::Ptr<cv::videostab::ISparseOptFlowEstimator>) (global_motion.hpp:183)	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::setOutlierRejector(cv::Ptr<cv::videostab::IOutlierRejector>) (global_motion.hpp:186)	0ns	0	2	0
  |   +-	cv::videostab::MotionEstimatorBase::motionModel() const (global_motion.hpp:80)	0ns	0	2	0
  |   +-	cv::videostab::NullOutlierRejector::NullOutlierRejector() (outlier_rejection.hpp:64)	0ns	0	2	0
  |   +-	cv::videostab::SparsePyrLkOptFlowEstimator::SparsePyrLkOptFlowEstimator() (optical_flow.hpp:93)	0ns	0	2	0
  |   +-	std::vector<cv::KeyPoint, std::allocator<cv::KeyPoint> >::vector() (stl_vector.h:246)	0ns	0	2	0
  |   +-	std::vector<unsigned char, std::allocator<unsigned char> >::vector() (stl_vector.h:246)	0ns	0	2	0
  |   +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::vector() (stl_vector.h:246)	0ns	0	8	0
  +-	cv::videostab::KeypointBasedMotionEstimator::setOpticalFlowEstimator(cv::Ptr<cv::videostab::ISparseOptFlowEstimator>)	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::operator=(cv::Ptr<cv::videostab::ISparseOptFlowEstimator> const&) (operations.hpp:2625)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::KeypointBasedMotionEstimator::KeypointBasedMotionEstimator(cv::Ptr<cv::videostab::MotionEstimatorBase>) (global_motion.cpp:670)	0ns	0	2	0
  +-	cv::videostab::KeypointBasedMotionEstimator::~KeypointBasedMotionEstimator()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::videostab::KeypointBasedMotionEstimator::~KeypointBasedMotionEstimator() (global_motion.hpp:172)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::ImageMotionEstimatorBase>::delete_obj() (operations.hpp:2613)	0ns	0	2	0
  +-	cv::videostab::KeypointBasedMotionEstimator::~KeypointBasedMotionEstimator()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  | | +-	cv::videostab::KeypointBasedMotionEstimator::~KeypointBasedMotionEstimator() (global_motion.hpp:172)	0ns	0	2	0
  | +-	children	0ns	0	22	0
  |   +-	cv::Ptr<cv::FeatureDetector>::~Ptr() (operations.hpp:2616)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::IOutlierRejector>::~Ptr() (operations.hpp:2616)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::ISparseOptFlowEstimator>::~Ptr() (operations.hpp:2616)	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::~Ptr() (operations.hpp:2616)	0ns	0	2	0
  |   +-	cv::videostab::ImageMotionEstimatorBase::~ImageMotionEstimatorBase() (global_motion.hpp:132)	0ns	0	2	0
  |   +-	std::vector<cv::KeyPoint, std::allocator<cv::KeyPoint> >::~vector() (stl_vector.h:402)	0ns	0	2	0
  |   +-	std::vector<unsigned char, std::allocator<unsigned char> >::~vector() (stl_vector.h:402)	0ns	0	2	0
  |   +-	std::vector<cv::Point_<float>, std::allocator<cv::Point_<float> > >::~vector() (stl_vector.h:402)	0ns	0	8	0
  +-	cv::videostab::MotionEstimatorBase::MotionEstimatorBase(cv::videostab::MotionModel)	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::videostab::MotionEstimatorBase::setMotionModel(cv::videostab::MotionModel) (global_motion.hpp:79)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::MotionEstimatorRansacL2::MotionEstimatorRansacL2(cv::videostab::MotionModel) (global_motion.cpp:452)	0ns	0	2	0
  +-	cv::videostab::MotionEstimatorBase::setMotionModel(cv::videostab::MotionModel)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::MotionEstimatorBase::MotionEstimatorBase(cv::videostab::MotionModel) (global_motion.hpp:85)	0ns	0	2	0
  +-	cv::videostab::MotionEstimatorBase::~MotionEstimatorBase()	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::MotionEstimatorRansacL2::~MotionEstimatorRansacL2() (global_motion.hpp:91)	0ns	0	2	0
  +-	cv::videostab::MotionEstimatorRansacL2::MotionEstimatorRansacL2(cv::videostab::MotionModel)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  | | +-	MotionEstimatorRansacL2Builder::build() (videostab.cpp:195)	0ns	0	1	0
  | | +-	cv::videostab::StabilizerBase::StabilizerBase() (stabilizer.cpp:61)	0ns	0	1	0
  | +-	children	0ns	0	10	0
  |   +-	cv::videostab::MotionEstimatorBase::MotionEstimatorBase(cv::videostab::MotionModel) (global_motion.hpp:85)	0ns	0	2	0
  |   +-	cv::videostab::MotionEstimatorRansacL2::setMinInlierRatio(float) (global_motion.hpp:99)	0ns	0	2	0
  |   +-	cv::videostab::MotionEstimatorRansacL2::setRansacParams(cv::videostab::RansacParams const&) (global_motion.hpp:96)	0ns	0	2	0
  |   +-	cv::videostab::RansacParams::RansacParams() (motion_core.hpp:73)	0ns	0	2	0
  |   +-	cv::videostab::RansacParams::default2dMotion(cv::videostab::MotionModel) (motion_core.hpp:82)	0ns	0	2	0
  +-	cv::videostab::MotionEstimatorRansacL2::~MotionEstimatorRansacL2()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::videostab::MotionEstimatorBase::~MotionEstimatorBase() (global_motion.hpp:77)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::videostab::MotionEstimatorRansacL2::~MotionEstimatorRansacL2() (global_motion.hpp:91)	0ns	0	2	0
  +-	cv::videostab::MotionEstimatorRansacL2::~MotionEstimatorRansacL2()	0ns	0	2	0
  | +-	children	0ns	0	2	0
  | | +-	cv::videostab::MotionEstimatorRansacL2::~MotionEstimatorRansacL2() (global_motion.hpp:91)	0ns	0	2	0
  | +-	parents	0ns	0	2	0
  |   +-	cv::Ptr<cv::videostab::MotionEstimatorBase>::delete_obj() (operations.hpp:2613)	0ns	0	2	0
  +-	cv::videostab::MotionFilterBase::MotionFilterBase()	0ns	0	2	0
  | +-	children	0ns	0	2	0
